Instrument Type,Date,Traded Contract(Lots),Total Value (Lacs),Premium Value (Lacs)
FUTCOM,01 Jan 2024,55674,193162.71,-
FUTIDX,01 Jan 2024,21,172.25,-
OPTFUT,01 Jan 2024,150532,840919.24,-
FUTIDX,02 Jan 2024,308,2533.69,-
FUTCOM,02 Jan 2024,595985,2020450.36,-
OPTFUT,02 Jan 2024,1944332,11385108.3,-
FUTIDX,03 Jan 2024,504,4108.9,-
OPTFUT,03 Jan 2024,1773641,10538804.27,-
FUTCOM,03 Jan 2024,806139,2854404.83,-
OPTFUT,04 Jan 2024,2036133,11579217.33,-
FUTCOM,04 Jan 2024,562688,1843253.47,-
FUTIDX,04 Jan 2024,154,1247.0,-
FUTIDX,05 Jan 2024,395,3205.38,-
FUTCOM,05 Jan 2024,652226,2402225.01,-
OPTFUT,05 Jan 2024,1825883,10978009.19,-
OPTFUT,08 Jan 2024,2261922,13210335.43,-
FUTIDX,08 Jan 2024,229,1845.28,-
FUTCOM,08 Jan 2024,554003,2002804.52,-
FUTIDX,09 Jan 2024,131,1057.43,-
OPTFUT,09 Jan 2024,2760962,14968137.92,-
FUTCOM,09 Jan 2024,639796,2134496.32,-
FUTCOM,10 Jan 2024,593436,1997034.04,-
OPTFUT,10 Jan 2024,3013393,16600854.88,-
FUTIDX,10 Jan 2024,137,1102.59,-
OPTFUT,11 Jan 2024,3215731,18383320.12,-
FUTIDX,11 Jan 2024,209,1677.92,-
FUTCOM,11 Jan 2024,696621,2551398.65,-
FUTIDX,12 Jan 2024,345,2787.97,-
OPTFUT,12 Jan 2024,4030456,23510253.17,-
FUTCOM,12 Jan 2024,845674,3158332.53,-
FUTIDX,15 Jan 2024,92,745.42,-
FUTCOM,15 Jan 2024,359413,1301737.75,-
OPTFUT,15 Jan 2024,2780784,15917390.23,-
FUTIDX,16 Jan 2024,188,1516.17,-
FUTCOM,16 Jan 2024,572156,2158043.1,-
OPTFUT,16 Jan 2024,4057155,23948159.01,-
FUTCOM,17 Jan 2024,556282,2177582.04,-
OPTFUT,17 Jan 2024,2664807,14945457.67,-
FUTIDX,17 Jan 2024,194,1551.86,-
FUTIDX,18 Jan 2024,100,798.51,-
FUTCOM,18 Jan 2024,494233,1665207.59,-
OPTFUT,18 Jan 2024,1823397,8665942.36,-
OPTFUT,19 Jan 2024,1819232,9087272.62,-
FUTIDX,19 Jan 2024,134,1074.64,-
FUTCOM,19 Jan 2024,442588,1594833.58,-
FUTIDX,22 Jan 2024,66,526.85,-
OPTFUT,22 Jan 2024,1234446,5729695.48,-
FUTCOM,22 Jan 2024,317595,1034634.63,-
OPTFUT,23 Jan 2024,1498696,8993159.45,-
FUTCOM,23 Jan 2024,422550,1539456.48,-
FUTIDX,23 Jan 2024,172,1376.2,-
FUTIDX,24 Jan 2024,552,4434.4,-
OPTFUT,24 Jan 2024,1304711,8283443.42,-
FUTCOM,24 Jan 2024,525883,2047208.32,-
FUTIDX,25 Jan 2024,77,618.89,-
OPTFUT,25 Jan 2024,1216998,6602894.3,-
FUTCOM,25 Jan 2024,435744,1592389.54,-
FUTCOM,29 Jan 2024,437464,1893289.48,-
FUTIDX,29 Jan 2024,164,1322.26,-
OPTFUT,29 Jan 2024,1406864,8251339.33,-
FUTIDX,30 Jan 2024,158,1278.15,-
OPTFUT,30 Jan 2024,1490970,8843897.15,-
FUTCOM,30 Jan 2024,405216,1664883.54,-
FUTCOM,31 Jan 2024,399510,1419299.04,-
OPTFUT,31 Jan 2024,1747804,10250918.15,-
FUTIDX,31 Jan 2024,119,963.75,-
FUTIDX,01 Feb 2024,307,2483.05,-
OPTFUT,01 Feb 2024,1900235,11705308.69,-
FUTCOM,01 Feb 2024,639407,2523212.03,-
FUTIDX,02 Feb 2024,199,1604.37,-
OPTFUT,02 Feb 2024,1974444,11824010.63,-
FUTCOM,02 Feb 2024,541047,2086159.6,-
FUTIDX,05 Feb 2024,162,1297.13,-
FUTCOM,05 Feb 2024,385311,1467648.13,-
OPTFUT,05 Feb 2024,1969529,11635583.3,-
FUTCOM,06 Feb 2024,346048,1201165.81,-
OPTFUT,06 Feb 2024,1874904,10877490.04,-
FUTIDX,06 Feb 2024,94,753.6,-
OPTFUT,07 Feb 2024,1827085,10476727.36,-
FUTIDX,07 Feb 2024,78,625.49,-
FUTCOM,07 Feb 2024,353378,1304475.7,-
FUTCOM,08 Feb 2024,452116,1722301.43,-
FUTIDX,08 Feb 2024,117,936.77,-
OPTFUT,08 Feb 2024,2060018,12206655.55,-
FUTIDX,09 Feb 2024,102,817.73,-
FUTCOM,09 Feb 2024,424558,1435261.23,-
OPTFUT,09 Feb 2024,2516941,14683010.13,-
OPTFUT,12 Feb 2024,2789094,16876327.03,-
FUTIDX,12 Feb 2024,156,1249.9,-
FUTCOM,12 Feb 2024,505850,1782850.25,-
OPTFUT,13 Feb 2024,3476565,21103288.98,-
FUTCOM,13 Feb 2024,621258,2323567.18,-
